img_ts,send_ts,dt_ms,px_error,w_x,w_y,w_z,v_x,v_y,v_z
1775661550.199590,1775661550.561333,361.743,100.000,0.000,0.000,0.000,-25.000,-13.835,24.326
1775661550.562499,1775661550.919325,356.826,100.000,0.000,0.000,0.000,-37.499,18.082,31.939
1775661550.920470,1775661551.284118,363.648,100.000,0.000,0.000,0.000,-43.749,34.041,36.284
1775661551.285204,1775661551.647105,361.900,100.000,0.000,0.000,0.000,-46.780,42.021,40.688
1775661552.011160,1775661552.379579,368.419,100.000,0.000,0.000,0.000,-48.390,45.762,45.307
1775661552.380934,1775661552.765513,384.579,100.000,0.000,0.000,0.000,-49.195,47.881,47.533
1775661552.766598,1775661553.144292,377.694,100.000,0.000,0.000,0.000,-48.457,48.941,48.383
1775661553.145431,1775661553.527457,382.026,100.000,0.000,0.000,0.000,-49.228,46.563,12.214
1775661554.820392,1775661555.294666,474.273,229.485,0.000,0.000,0.000,0.385,33.139,-18.890
1775661555.765718,1775661556.221766,456.048,217.799,0.000,0.000,0.000,25.192,27.287,-34.444
1775661556.222930,1775661556.691179,468.250,217.031,0.000,0.000,0.000,37.596,29.300,-42.222
1775661556.692195,1775661557.154499,462.304,217.442,0.000,0.000,0.000,18.798,34.380,-46.111
1775661557.636908,1775661558.095669,458.761,239.038,0.000,0.000,0.000,9.399,4.956,-48.055
1775661558.096674,1775661558.514354,417.679,215.240,0.000,0.000,0.000,4.700,5.777,-49.027
1775661558.515369,1775661558.941560,426.190,199.449,0.000,0.000,0.000,2.350,-11.676,-49.514
1775661558.942738,1775661559.378394,435.655,156.333,0.000,0.000,0.000,1.175,-13.970,-49.757
1775661559.379807,1775661559.797666,417.860,157.357,0.000,0.000,0.000,25.587,-14.589,-49.865
1775661559.799183,1775661560.268823,469.640,146.321,0.000,0.000,0.000,37.794,-15.026,-49.933
1775661560.270516,1775661560.740171,469.656,141.087,0.000,0.000,0.000,-6.016,-31.398,-30.921
1775661560.741237,1775661561.173468,432.231,144.233,0.000,0.000,0.000,21.992,-30.400,-40.459
1775661561.597175,1775661562.021984,424.809,321.415,0.000,0.000,0.000,35.996,-34.016,-45.193
1775661562.023173,1775661562.482399,459.225,319.933,0.000,0.000,0.000,42.998,-30.455,-47.088
1775661562.483811,1775661562.887170,403.359,321.718,0.000,0.000,0.000,46.499,-23.022,-48.524
1775661563.296003,1775661563.718868,422.865,323.091,0.000,0.000,0.000,48.240,-17.521,-45.927
1775661563.719972,1775661564.107264,387.292,317.262,0.000,0.000,0.000,48.734,-14.243,-36.440
1775661564.108436,1775661564.485631,377.194,306.530,0.000,0.000,0.000,49.338,-10.510,-32.592
1775661564.486721,1775661564.859734,373.013,303.655,0.000,0.000,0.000,41.337,-7.582,-20.550
1775661564.860812,1775661565.242109,381.298,294.253,0.000,0.000,0.000,45.623,-10.799,-20.988
1775661565.243195,1775661565.635159,391.965,77.499,0.000,0.000,0.000,47.740,-12.650,-17.965
1775661565.636293,1775661566.028964,392.671,72.410,0.000,0.000,0.000,48.868,-14.846,-11.657
1775661566.030081,1775661566.427957,397.876,72.838,0.000,0.000,0.000,49.434,-26.312,-2.272
1775661566.429175,1775661566.845371,416.196,73.796,0.000,0.000,0.000,49.717,-37.890,21.747
1775661567.658963,1775661568.108057,449.093,101.049,0.000,0.000,0.000,49.329,-40.200,28.351
1775661568.109278,1775661568.547613,438.335,116.233,0.000,0.000,0.000,-0.336,4.900,-10.825
1775661568.548622,1775661568.982679,434.057,130.920,0.000,0.000,0.000,-25.168,27.450,-30.408
1775661568.983823,1775661569.463341,479.518,133.423,0.000,0.000,0.000,12.416,-5.463,-8.238
1775661569.464353,1775661569.897425,433.072,142.727,0.000,0.000,0.000,31.208,-27.701,20.713
1775661570.344016,1775661570.777789,433.773,157.838,0.000,0.000,0.000,37.450,-38.270,32.129
1775661570.778949,1775661571.194953,416.004,160.616,0.000,0.000,0.000,-6.275,5.865,-8.935
1775661571.196078,1775661571.619995,423.917,153.020,0.000,0.000,0.000,-3.137,-21.839,18.686
,,,,,, 
1775661572.879034,1775661573.309728,430.695,144.652,1.498,-9.539,0.000,0.000,0.000,0.000
1775661573.310796,1775661573.735417,424.621,156.116,1.555,-9.556,0.000,0.000,0.000,0.000
1775661573.736559,1775661574.144321,407.762,155.259,1.729,-9.582,0.000,0.000,0.000,0.000
1775661574.145898,1775661574.543889,397.991,148.713,1.723,-9.580,0.000,0.000,0.000,0.000
1775661574.955365,1775661575.354714,399.349,166.397,1.715,-9.569,0.000,0.000,0.000,0.000
1775661575.357695,1775661575.776740,419.045,160.046,1.828,-9.574,0.000,0.000,0.000,0.000
1775661575.778321,1775661576.190863,412.542,155.782,1.630,-9.516,0.000,0.000,0.000,0.000
1775661576.191894,1775661576.633722,441.828,146.829,1.251,-9.390,0.000,0.000,0.000,0.000
1775661576.634765,1775661577.037410,402.645,131.520,1.164,-9.373,0.000,0.000,0.000,0.000
1775661577.038614,1775661577.433447,394.834,119.648,1.019,-9.318,0.000,0.000,0.000,0.000
1775661577.434489,1775661577.851060,416.570,115.433,1.055,-9.308,0.000,0.000,0.000,0.000
1775661577.852108,1775661578.247644,395.536,106.017,0.806,-9.214,0.000,0.000,0.000,0.000
1775661578.248782,1775661578.679125,430.342,98.244,0.982,-9.225,0.000,0.000,0.000,0.000
1775661578.680258,1775661579.057849,377.591,79.987,0.914,-9.166,0.000,0.000,0.000,0.000
1775661579.058964,1775661579.493405,434.440,69.307,0.793,-9.073,0.000,0.000,0.000,0.000
1775661579.494525,1775661579.877054,382.529,66.686,0.768,-9.018,0.000,0.000,0.000,0.000
1775661579.878162,1775661580.283420,405.258,54.299,0.750,-8.947,0.000,0.000,0.000,0.000
1775661580.284784,1775661580.687171,402.387,56.561,0.705,-8.861,0.000,0.000,0.000,0.000
1775661580.688623,1775661581.085318,396.695,68.208,0.703,-8.797,0.000,0.000,0.000,0.000
1775661581.086932,1775661581.491258,404.326,69.674,0.678,-8.755,0.000,0.000,0.000,0.000
1775661581.492403,1775661581.876197,383.794,59.319,0.589,-8.635,0.000,0.000,0.000,0.000
1775661581.878606,1775661582.273402,394.796,59.531,0.471,-8.500,0.000,0.000,0.000,0.000
1775661582.274515,1775661582.676353,401.839,54.187,0.492,-8.430,0.000,0.000,0.000,0.000
1775661582.678267,1775661583.071623,393.356,52.005,0.462,-8.311,0.000,0.000,0.000,0.000
1775661583.073339,1775661583.465782,392.443,51.844,0.455,-8.210,0.000,0.000,0.000,0.000
1775661583.467023,1775661583.858446,391.423,48.809,0.442,-8.086,0.000,0.000,0.000,0.000
1775661583.859748,1775661584.242015,382.267,57.383,0.456,-7.926,0.000,0.000,0.000,0.000
1775661584.243124,1775661584.662100,418.976,56.608,0.416,-7.809,0.000,0.000,0.000,0.000
1775661584.663272,1775661585.064008,400.735,43.682,0.340,-7.543,0.000,0.000,0.000,0.000
1775661585.065711,1775661585.451440,385.729,43.463,0.330,-7.367,0.000,0.000,0.000,0.000
1775661585.452552,1775661585.827623,375.071,44.211,0.359,-7.250,0.000,0.000,0.000,0.000
1775661585.829267,1775661586.199634,370.368,44.798,0.321,-7.128,0.000,0.000,0.000,0.000
1775661586.201069,1775661586.573621,372.552,43.777,0.332,-7.083,0.000,0.000,0.000,0.000
1775661586.574750,1775661586.946962,372.212,43.229,0.264,-6.927,0.000,0.000,0.000,0.000
1775661586.948118,1775661587.314652,366.534,43.699,0.306,-6.923,0.000,0.000,0.000,0.000
1775661587.315682,1775661587.668069,352.387,43.754,0.342,-6.925,0.000,0.000,0.000,0.000
1775661587.669117,1775661588.030086,360.969,33.354,0.291,-6.846,0.000,0.000,0.000,0.000
