Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll
66.944687,0.050418,-29948.725,-100.744,171.642,0.000,45.708,-0.000
66.992912,0.048223,-29948.725,-100.744,171.642,0.054,45.737,0.000
67.037491,0.044581,-29948.725,-100.744,171.642,0.054,45.737,0.000
67.087036,0.049540,-29948.725,-100.744,171.642,0.054,45.737,0.000
67.135666,0.048636,-29948.725,-100.744,171.642,0.144,45.785,-0.000
67.180664,0.044995,-29948.725,-100.744,171.642,0.144,45.785,-0.000
67.227737,0.047072,-29948.725,-100.744,171.642,0.144,45.785,-0.000
67.277695,0.049958,-29948.725,-100.744,171.642,0.258,45.847,-0.000
67.322182,0.044492,-29948.725,-100.744,171.642,0.258,45.847,-0.000
67.366745,0.044562,-29948.725,-100.744,171.642,0.258,45.847,-0.000
67.417274,0.050528,-29948.725,-100.744,171.642,0.258,45.847,-0.000
67.463356,0.046080,-29948.725,-100.744,171.642,0.387,45.915,-0.000
67.511147,0.047795,-29948.725,-100.744,171.642,0.387,45.915,-0.000
67.561028,0.049877,-29948.725,-100.744,171.642,0.387,45.915,-0.000
67.608170,0.047146,-29948.725,-100.744,171.642,0.537,45.994,-0.000
67.654762,0.046588,-29948.725,-100.744,171.642,0.537,45.994,-0.000
67.707664,0.052905,-29948.725,-100.744,171.642,0.537,45.994,-0.000
67.757492,0.049826,-29948.725,-100.744,171.642,0.474,46.561,0.000
67.802307,0.044820,-29948.725,-100.744,171.642,0.474,46.561,0.000
67.848328,0.046017,-29948.725,-100.744,171.642,0.474,46.561,0.000
67.900681,0.052352,-29948.725,-100.744,171.642,0.474,46.561,0.000
67.947525,0.046845,-29948.725,-100.744,171.642,0.488,46.963,0.000
67.993073,0.045550,-29948.725,-100.744,171.642,0.488,46.963,0.000
68.044403,0.051329,-29948.725,-100.744,171.642,0.488,46.963,0.000
68.090782,0.046378,-29948.725,-100.744,171.642,0.430,47.527,0.000
68.136154,0.045374,-29948.725,-100.744,171.642,0.430,47.527,0.000
68.181984,0.045830,-29948.725,-100.744,171.642,0.430,47.527,0.000
68.250443,0.068456,-29948.725,-100.744,171.642,0.349,48.093,0.000
68.296654,0.046214,-29948.725,-100.744,171.642,0.349,48.093,0.000
68.346245,0.049590,-29948.725,-100.744,171.642,0.349,48.093,0.000
68.397354,0.051106,-29948.725,-100.744,171.642,0.349,48.093,0.000
68.441055,0.043706,-29948.725,-100.744,171.642,0.350,48.537,0.000
68.488029,0.046968,-29948.725,-100.744,171.642,0.350,48.537,0.000
68.539726,0.051700,-29948.725,-100.744,171.642,0.350,48.537,0.000
68.588837,0.049110,-29948.725,-100.744,171.642,0.266,49.118,-0.000
68.634224,0.045391,-29948.725,-100.744,171.642,0.266,49.118,-0.000
68.692909,0.058685,-29948.725,-100.744,171.642,0.266,49.118,-0.000
68.743912,0.051003,-29948.725,-100.744,171.642,0.267,49.520,0.000
68.790199,0.046280,-29948.725,-100.744,171.642,0.267,49.520,0.000
68.835648,0.045454,-29948.725,-100.744,171.642,0.267,49.520,0.000
