Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll
92.695259,0.060234,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.756828,0.061574,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.796600,0.039769,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.837494,0.040895,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.877396,0.039906,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.917694,0.040298,-30165.233,-25.064,171.642,-0.875,70.733,0.000
92.959900,0.042203,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.003334,0.043431,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.044571,0.041241,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.085381,0.040810,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.126671,0.041288,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.169876,0.043204,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.210197,0.040321,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.252205,0.042008,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.295845,0.043646,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.337952,0.042102,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.379494,0.041542,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.422318,0.042826,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.465553,0.043232,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.507195,0.041643,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.548523,0.041329,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.588806,0.040284,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.630058,0.041250,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.675270,0.045216,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.718407,0.043133,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.765114,0.046712,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.805115,0.039996,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.847404,0.042295,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.888458,0.041048,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.929077,0.040621,-30165.233,-25.064,171.642,-0.875,70.733,0.000
93.971863,0.042789,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.012833,0.040967,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.051987,0.039153,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.094131,0.042145,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.134590,0.040463,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.173897,0.039305,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.215424,0.041523,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.256096,0.040671,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.297081,0.040990,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.337891,0.040808,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.378929,0.041038,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.417770,0.038843,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.460152,0.042377,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.500420,0.040273,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.540565,0.040147,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.583160,0.042592,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.623878,0.040721,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.665062,0.041178,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.707176,0.042120,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.755531,0.048350,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.796974,0.041448,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.838402,0.041427,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.880569,0.042162,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.922073,0.041505,-30165.233,-25.064,171.642,-0.875,70.733,0.000
94.965523,0.043453,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.008736,0.043214,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.051285,0.042545,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.094757,0.043472,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.136246,0.041488,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.179161,0.042916,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.221519,0.042364,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.263039,0.041514,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.305466,0.042430,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.348305,0.042836,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.389801,0.041500,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.431511,0.041711,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.472984,0.041468,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.514938,0.041957,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.557472,0.042537,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.601196,0.043718,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.643150,0.041954,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.684906,0.041762,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.737259,0.052352,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.779869,0.042607,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.822487,0.042618,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.864761,0.042276,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.906227,0.041464,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.948372,0.042145,-30165.233,-25.064,171.642,-0.875,70.733,0.000
95.990158,0.041786,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.031494,0.041339,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.073891,0.042395,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.115295,0.041402,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.157433,0.042142,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.198822,0.041385,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.241890,0.043067,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.285439,0.043554,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.327637,0.042197,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.371948,0.044311,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.418068,0.046120,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.459656,0.041584,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.501854,0.042200,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.544281,0.042425,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.585953,0.041674,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.627922,0.041969,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.670059,0.042140,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.715569,0.045503,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.763626,0.048063,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.807137,0.043511,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.851433,0.044295,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.896553,0.045118,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.941269,0.044719,-30165.233,-25.064,171.642,-0.875,70.733,0.000
96.985817,0.044547,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.027870,0.042048,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.070427,0.042561,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.113380,0.042951,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.156624,0.043247,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.198715,0.042087,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.241447,0.042732,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.285233,0.043791,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.329651,0.044412,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.373779,0.044135,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.416710,0.042927,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.460129,0.043424,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.503944,0.043814,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.546692,0.042743,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.589417,0.042728,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.632202,0.042784,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.675598,0.043397,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.728645,0.053045,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.774460,0.045814,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.818062,0.043605,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.861862,0.043798,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.904541,0.042677,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.948288,0.043752,-30165.233,-25.064,171.642,-0.875,70.733,0.000
97.991402,0.043112,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.034821,0.043420,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.077065,0.042244,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.120415,0.043346,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.164040,0.043625,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.207535,0.043495,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.250290,0.042756,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.295746,0.045457,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.339745,0.043995,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.383575,0.043836,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.426254,0.042673,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.469490,0.043241,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.513016,0.043525,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.556717,0.043697,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.599884,0.043167,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.645081,0.045201,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.689743,0.044661,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.739136,0.049391,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.784058,0.044926,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.828712,0.044650,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.871666,0.042959,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.914856,0.043185,-30165.233,-25.064,171.642,-0.875,70.733,0.000
98.959076,0.044220,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.004639,0.045564,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.050690,0.046053,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.094292,0.043603,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.138023,0.043730,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.182320,0.044300,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.227562,0.045240,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.271484,0.043923,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.314796,0.043309,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.360512,0.045720,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.405350,0.044835,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.450455,0.045103,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.495132,0.044681,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.538635,0.043505,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.584320,0.045680,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.627846,0.043529,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.671715,0.043866,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.719727,0.048016,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.767075,0.047346,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.811897,0.044822,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.858284,0.046390,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.902359,0.044076,-30165.233,-25.064,171.642,-0.875,70.733,0.000
99.946724,0.044360,-30165.233,-25.064,171.642,-0.875,70.733,0.000
100.009720,0.062997,-30165.233,-25.064,171.642,-0.875,70.733,0.000
100.073120,0.063401,-30165.233,-25.064,171.642,-0.875,70.733,0.000
100.135094,0.061971,-30165.233,-25.064,171.642,-0.875,70.733,0.000
100.194855,0.059766,-30165.233,-25.064,171.642,-0.875,70.733,0.000
100.255249,0.060394,-30165.233,-25.064,171.642,-0.875,70.733,0.000
