Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll
0.008334,0.008334,-29798.725,-100.744,218.870,0.000,45.708,0.000
0.408334,0.400000,-29798.725,-100.744,163.150,0.000,45.708,0.000
0.808334,0.400000,-29798.725,-100.744,163.150,0.000,45.708,0.000
1.208333,0.400000,-29798.725,-100.744,163.150,0.000,45.708,0.000
1.608333,0.400000,-29798.725,-100.744,163.150,0.000,45.708,0.000
1.769947,0.161613,-29798.725,-100.744,163.150,0.000,45.708,0.000
1.947100,0.177153,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.055825,0.108726,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.153301,0.097475,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.233780,0.080479,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.274734,0.040955,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.343768,0.069034,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.408604,0.064836,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.462217,0.053613,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.513918,0.051701,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.566109,0.052191,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.632222,0.066114,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.691024,0.058801,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.753831,0.062808,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.812582,0.058750,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.869402,0.056821,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.930668,0.061266,-29798.725,-100.744,163.150,0.000,45.708,0.000
2.990820,0.060153,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.040241,0.049420,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.087807,0.047566,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.136775,0.048968,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.185305,0.048530,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.232903,0.047598,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.279933,0.047030,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.328669,0.048736,-29798.725,-100.744,163.150,0.000,45.708,0.000
3.377836,0.049167,-29798.725,-100.744,163.150,0.000,45.708,0.000
